Site Name,Continent,Country,Flag,Type,Endangered
Mont-Saint-Michel and its Bay,Europe,France,🇫🇷,Cultural,No
Monte San Giorgio,Europe,"Italy, Switzerland","🇨🇭, 🇮🇹",Natural,No
Monticello and the University of Virginia in Charlottesville,North America,United States,🇺🇸,Cultural,No
Monumental Earthworks of Poverty Point,North America,United States,🇺🇸,Cultural,No
Monuments of Oviedo and the Kingdom of the Asturias,Europe,Spain,🇪🇸,Cultural,No
Moravian Church Settlements,"Europe, North America","Denmark, Germany, United Kingdom, United States","🇩🇪, 🇩🇰, 🇬🇧, 🇺🇸",Cultural,No
Morne Trois Pitons National Park,North America,Dominica,🇩🇲,Natural,No
Mosi-oa-Tunya / Victoria Falls,Africa,"Zambia, Zimbabwe","🇿🇲, 🇿🇼",Natural,No
Mount Athos,Europe,Greece,🇬🇷,Mixed,No
"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",Asia,China,🇨🇳,Mixed,No
Mount Etna,Europe,Italy,🇮🇹,Natural,No
Mount Hamiguitan Range Wildlife Sanctuary,Asia,Philippines,🇵🇭,Natural,No
Mount Huangshan,Asia,China,🇨🇳,Mixed,No
Mount Kenya National Park/Natural Forest,Africa,Kenya,🇰🇪,Natural,No
Mount Nimba Strict Nature Reserve,Africa,"Guinea, Ivory Coast",", 🇬🇳",Natural,Endangered
Mount Qingcheng and the Dujiangyan Irrigation System,Asia,China,🇨🇳,Cultural,No
Mount Sanqingshan National Park,Asia,China,🇨🇳,Natural,No
Mount Taishan,Asia,China,🇨🇳,Mixed,No
Mount Wutai,Asia,China,🇨🇳,Cultural,No
Mount Wuyi,Asia,China,🇨🇳,Mixed,No
Mountain Railways of India,Asia,India,🇮🇳,Cultural,No
"Mountain Resort and its Outlying Temples, Chengde",Asia,China,🇨🇳,Cultural,No
Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,Asia,Japan,🇯🇵,Cultural,No
Mudejar Architecture of Aragon,Europe,Spain,🇪🇸,Cultural,No
"Museumsinsel (Museum Island), Berlin",Europe,Germany,🇩🇪,Cultural,No
Muskauer Park / Park Mużakowski,Europe,"Germany, Poland","🇩🇪, 🇵🇱",Cultural,No
My Son Sanctuary,Asia,Vietnam,🇻🇳,Cultural,No
Nahanni National Park,North America,Canada,🇨🇦,Natural,No
Namhansanseong,Asia,South Korea,🇰🇷,Cultural,No
Namib Sand Sea,Africa,Namibia,🇳🇦,Natural,No
Nan Madol: Ceremonial Centre of Eastern Micronesia,Oceania,Micronesia,🇫🇲,Cultural,Endangered
Nanda Devi and Valley of Flowers National Parks,Asia,India,🇮🇳,Natural,No
National Archaeological Park Tak’alik Ab’aj,North America,Guatemala,🇬🇹,Cultural,No
National Archeological Park of Tierradentro,South America,Colombia,🇨🇴,Cultural,No
"National History Park – Citadel, Sans Souci, Ramiers",North America,Haiti,🇭🇹,Cultural,No
Natural System of Wrangel Island Reserve,Europe,Russia,🇷🇺,Natural,No
Natural and Cultural Heritage of the Ohrid region,Europe,"Albania, North Macedonia","🇦🇱, 🇲🇰",Mixed,No
Natural and Culturo-Historical Region of Kotor,Europe,Montenegro,🇲🇪,Cultural,No
Naumburg Cathedral,Europe,Germany,🇩🇪,Cultural,No
Naval Port of Karlskrona,Europe,Sweden,🇸🇪,Cultural,No
Necropolis of Bet She’arim: A Landmark of Jewish Renewal,Asia,Israel,🇮🇱,Cultural,No
Nemrut Dağ,Asia,Turkey,🇹🇷,Cultural,No
Neolithic Flint Mines at Spiennes (Mons),Europe,Belgium,🇧🇪,Cultural,No
Neolithic Site of Çatalhöyük,Asia,Turkey,🇹🇷,Cultural,No
New Lanark,Europe,United Kingdom,🇬🇧,Cultural,No
New Zealand Sub-Antarctic Islands,Oceania,New Zealand,🇳🇿,Natural,No
Ngorongoro Conservation Area,Africa,Tanzania,🇹🇿,Mixed,No
"Nice, Winter Resort Town of the Riviera",Europe,France,🇫🇷,Cultural,No
Ningaloo Coast,Oceania,Australia,🇦🇺,Natural,No
Niokolo-Koba National Park,Africa,Senegal,🇸🇳,Natural,No
Noel Kempff Mercado National Park,South America,Bolivia,🇧🇴,Natural,No
Nord-Pas de Calais Mining Basin,Europe,France,🇫🇷,Cultural,No
Notre-Dame Cathedral in Tournai,Europe,Belgium,🇧🇪,Cultural,No
Nubian Monuments from Abu Simbel to Philae,Africa,Egypt,🇪🇬,Cultural,No
Nyungwe National Park,Africa,Rwanda,🇷🇼,Natural,No
Ogasawara Islands,Asia,Japan,🇯🇵,Natural,No
Okapi Wildlife Reserve,,DR Congo,🇨🇩,Natural,Endangered
Okavango Delta,Africa,Botswana,🇧🇼,Natural,No
Old Bridge Area of the Old City of Mostar,Europe,Bosnia and Herzegovina,🇧🇦,Cultural,No
Old City of Acre,Asia,Israel,🇮🇱,Cultural,No
Old City of Berne,Europe,Switzerland,🇨🇭,Cultural,No
Old City of Dubrovnik,Europe,Croatia,🇭🇷,Cultural,No
Old City of Jerusalem and its Walls,,Jerusalem,,Cultural,Endangered
Old City of Salamanca,Europe,Spain,🇪🇸,Cultural,No
Old City of Sana'a,Asia,Yemen,🇾🇪,Cultural,Endangered
Old City of Zamość,Europe,Poland,🇵🇱,Cultural,No
Old Havana and its Fortification System,North America,Cuba,🇨🇺,Cultural,No
Old Rauma,Europe,Finland,🇫🇮,Cultural,No
Old Town Lunenburg,North America,Canada,🇨🇦,Cultural,No
Old Town of Corfu,Europe,Greece,🇬🇷,Cultural,No
Old Town of Cáceres,Europe,Spain,🇪🇸,Cultural,No
Old Town of Galle and its Fortifications,Asia,Sri Lanka,🇱🇰,Cultural,No
Old Town of Ghadamès,Africa,Libya,🇱🇾,Cultural,Endangered
Old Town of Lijiang,Asia,China,🇨🇳,Cultural,No
Old Town of Segovia and its Aqueduct,Europe,Spain,🇪🇸,Cultural,No
Old Town of Ávila with its Extra-Muros Churches,Europe,Spain,🇪🇸,Cultural,No
Old Towns of Djenné,Africa,Mali,🇲🇱,Cultural,Endangered
Old Village of Hollókő and its Surroundings,Europe,Hungary,🇭🇺,Cultural,No
Old Walled City of Shibam,Asia,Yemen,🇾🇪,Cultural,Endangered
Old and New Towns of Edinburgh,Europe,United Kingdom,🇬🇧,Cultural,No
Old town of Kuldīga,Europe,Latvia,🇱🇻,Cultural,No
Old town of Regensburg with Stadtamhof,Europe,Germany,🇩🇪,Cultural,No
Olympic National Park,North America,United States,🇺🇸,Natural,No
Ombilin Coal Mining Heritage of Sawahlunto,Asia,Indonesia,🇮🇩,Cultural,No
Orkhon Valley Cultural Landscape,Asia,Mongolia,🇲🇳,Cultural,No
Osun-Osogbo Sacred Grove,Africa,Nigeria,🇳🇬,Cultural,No
Ouadi Qadisha (the Holy Valley) and the Forest of the Cedars of God (Horsh Arz el-Rab),Asia,Lebanon,🇱🇧,Cultural,No
Padua’s fourteenth-century fresco cycles,Europe,Italy,🇮🇹,Cultural,No
Painted Churches in the Troodos Region,Asia,Cyprus,🇨🇾,Cultural,No
Palace and Gardens of Schönbrunn,Europe,Austria,🇦🇹,Cultural,No
Palace and Park of Fontainebleau,Europe,France,🇫🇷,Cultural,No
Palace and Park of Versailles,Europe,France,🇫🇷,Cultural,No
Palace of Westminster and Westminster Abbey including Saint Margaret’s Church,Europe,United Kingdom,🇬🇧,Cultural,No
Palaces and Parks of Potsdam and Berlin,Europe,Germany,🇩🇪,Cultural,No
"Palau de la Música Catalana and Hospital de Sant Pau, Barcelona",Europe,Spain,🇪🇸,Cultural,No
Paleochristian and Byzantine Monuments of Thessalonika,Europe,Greece,🇬🇷,Cultural,No
"Palestine: Land of Olives and Vines – Cultural Landscape of Southern Jerusalem, Battir",Asia,Palestine,🇵🇸,Cultural,Endangered
Palmeral of Elche,Europe,Spain,🇪🇸,Cultural,No
Pampulha Modern Ensemble,South America,Brazil,🇧🇷,Cultural,No
Pantanal Conservation Area,South America,Brazil,🇧🇷,Natural,No
Papahānaumokuākea,North America,United States,🇺🇸,Mixed,No
Paphos,Asia,Cyprus,🇨🇾,Cultural,No
Paraty and Ilha Grande – Culture and Biodiversity,South America,Brazil,🇧🇷,Mixed,No
"Paris, Banks of the Seine",Europe,France,🇫🇷,Cultural,No
Parthian Fortresses of Nisa,Asia,Turkmenistan,🇹🇲,Cultural,No
Pasargadae,Asia,Iran,🇮🇷,Cultural,No
"Paseo del Prado and Buen Retiro, a landscape of Arts and Sciences",Europe,Spain,🇪🇸,Cultural,No
"Pearling, Testimony of an Island Economy",Asia,Bahrain,🇧🇭,Cultural,No
Peking Man Site at Zhoukoudian,Asia,China,🇨🇳,Cultural,No
Península Valdés,South America,Argentina,🇦🇷,Natural,No
Pergamon and its Multi-Layered Cultural Landscape,Asia,Turkey,🇹🇷,Cultural,No
Persepolis,Asia,Iran,🇮🇷,Cultural,No
Petra,Asia,Jordan,🇯🇴,Cultural,No
Petroglyphic Complexes of the Mongolian Altai,Asia,Mongolia,🇲🇳,Cultural,No
Petroglyphs of Lake Onega and the White Sea,Europe,Russia,🇷🇺,Cultural,No
Petroglyphs of the Archaeological Landscape of Tanbaly,Asia,Kazakhstan,🇰🇿,Cultural,No
Petäjävesi Old Church,Europe,Finland,🇫🇮,Cultural,No
Phoenix Islands Protected Area,Oceania,Kiribati,🇰🇮,Natural,No
Phong Nha-Ke Bang National Park,Asia,Vietnam,🇻🇳,Natural,No
"Phu Phrabat, a testimony to the Sīma stone tradition of the Dvaravati period",Asia,Thailand,🇹🇭,Cultural,No
"Piazza del Duomo, Pisa",Europe,Italy,🇮🇹,Cultural,No
Pilgrimage Church of St John of Nepomuk at Zelená Hora,Europe,Czechia,🇨🇿,Cultural,No
Pilgrimage Church of Wies,Europe,Germany,🇩🇪,Cultural,No
Pimachiowin Aki,North America,Canada,🇨🇦,Mixed,No
Pirin National Park,Europe,Bulgaria,🇧🇬,Natural,No
Pitons Management Area,North America,Saint Lucia,🇱🇨,Natural,No
"Pitons, cirques and remparts of Reunion Island",Europe,France,🇫🇷,Natural,No
"Place Stanislas, Place de la Carrière and Place d'Alliance in Nancy",Europe,France,🇫🇷,Cultural,No
Plantin-Moretus House-Workshops-Museum Complex,Europe,Belgium,🇧🇪,Cultural,No
Plitvice Lakes National Park,Europe,Croatia,🇭🇷,Natural,No
Poblet Monastery,Europe,Spain,🇪🇸,Cultural,No
Pont du Gard (Roman Aqueduct),Europe,France,🇫🇷,Cultural,No
Pontcysyllte Aqueduct and Canal,Europe,United Kingdom,🇬🇧,Cultural,No
"Port, Fortresses and Group of Monuments, Cartagena",South America,Colombia,🇨🇴,Cultural,No
"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",Europe,Italy,🇮🇹,Cultural,No
Portuguese City of Mazagan (El Jadida),Africa,Morocco,🇲🇦,Cultural,No
Prambanan Temple Compounds,Asia,Indonesia,🇮🇩,Cultural,No
Pre-Hispanic City and National Park of Palenque,North America,Mexico,🇲🇽,Cultural,No
Pre-Hispanic City of Chichen-Itza,North America,Mexico,🇲🇽,Cultural,No
Pre-Hispanic City of Teotihuacan,North America,Mexico,🇲🇽,Cultural,No
Pre-Hispanic Town of Uxmal,North America,Mexico,🇲🇽,Cultural,No
Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,North America,Costa Rica,🇨🇷,Cultural,No
Prehistoric Caves of Yagul and Mitla in the Central Valley of Oaxaca,North America,Mexico,🇲🇽,Cultural,No
Prehistoric Pile Dwellings around the Alps,Europe,"Austria, France, Germany, Italy, Slovenia, Switzerland","🇦🇹, 🇨🇭, 🇩🇪, 🇫🇷, 🇮🇹, 🇸🇮",Cultural,No
Prehistoric Rock Art Sites in the Côa Valley and Siega Verde,Europe,"Portugal, Spain","🇪🇸, 🇵🇹",Cultural,No
Prehistoric Sites and Decorated Caves of the Vézère Valley,Europe,France,🇫🇷,Cultural,No
Protective town of San Miguel and the Sanctuary of Jesús Nazareno de Atotonilco,North America,Mexico,🇲🇽,Cultural,No
Proto-urban Site of Sarazm,Asia,Tajikistan,🇹🇯,Cultural,No
"Provins, Town of Medieval Fairs",Europe,France,🇫🇷,Cultural,No
Puerto-Princesa Subterranean River National Park,Asia,Philippines,🇵🇭,Natural,No
Punic Town of Kerkuane and its Necropolis,Africa,Tunisia,🇹🇳,Cultural,No
Purnululu National Park,Oceania,Australia,🇦🇺,Natural,No
Putorana Plateau,Europe,Russia,🇷🇺,Natural,No
Pyrénées - Mont Perdu,Europe,"France, Spain","🇪🇸, 🇫🇷",Mixed,No
Pythagoreion and Heraion of Samos,Europe,Greece,🇬🇷,Cultural,No
Pyu Ancient Cities,Asia,Myanmar,🇲🇲,Cultural,No
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,Asia,Bahrain,🇧🇭,Cultural,No
"Qhapaq Ñan, Andean Road System",South America,"Argentina, Bolivia, Chile, Colombia, Ecuador, Peru","🇦🇷, 🇧🇴, 🇨🇱, 🇨🇴, 🇪🇨, 🇵🇪",Cultural,No
Qinghai Hoh Xil,Asia,China,🇨🇳,Natural,No
Quanzhou: Emporium of the World in Song-Yuan China,Asia,China,🇨🇳,Cultural,No
Quebrada de Humahuaca,South America,Argentina,🇦🇷,Cultural,No
Quseir Amra,Asia,Jordan,🇯🇴,Cultural,No
"Qutb Minar and its Monuments, Delhi",Asia,India,🇮🇳,Cultural,No
"Rabat, Modern Capital and Historic City: a Shared Heritage",Africa,Morocco,🇲🇦,Cultural,No
Rachid Karami International Fair-Tripoli,Asia,Lebanon,🇱🇧,Cultural,Endangered
Rainforests of the Atsinanana,Africa,Madagascar,🇲🇬,Natural,Endangered
Rangiri Dambulla Cave Temple,Asia,Sri Lanka,🇱🇰,Cultural,No
"Rani-ki-Vav (the Queen’s Stepwell) at Patan, Gujarat",Asia,India,🇮🇳,Cultural,No
Rapa Nui National Park,South America,Chile,🇨🇱,Cultural,No
Red Bay Basque Whaling Station,North America,Canada,🇨🇦,Cultural,No
Red Fort Complex,Asia,India,🇮🇳,Cultural,No
Redwood National and State Parks,North America,United States,🇺🇸,Natural,No
Renaissance Monumental Ensembles of Úbeda and Baeza,Europe,Spain,🇪🇸,Cultural,No
Residence of Bukovinian and Dalmatian Metropolitans,Europe,Ukraine,🇺🇦,Cultural,No
Residences of the Royal House of Savoy,Europe,Italy,🇮🇹,Cultural,No
Rhaetian Railway in the Albula / Bernina Landscapes,Europe,"Italy, Switzerland","🇨🇭, 🇮🇹",Cultural,No
Rice Terraces of the Philippine Cordilleras,Asia,Philippines,🇵🇭,Cultural,No
Richtersveld Cultural and Botanical Landscape,Africa,South Africa,🇿🇦,Cultural,No
Rideau Canal,North America,Canada,🇨🇦,Cultural,No
Rietveld Schröderhuis (Rietveld Schröder House),Europe,Netherlands,🇳🇱,Cultural,No
Rila Monastery,Europe,Bulgaria,🇧🇬,Cultural,No
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,South America,Brazil,🇧🇷,Cultural,No
Risco Caido and the Sacred Mountains of Gran Canaria Cultural Landscape,Europe,Spain,🇪🇸,Cultural,No
Rjukan-Notodden Industrial Heritage Site,Europe,Norway,🇳🇴,Cultural,No
Robben Island,Africa,South Africa,🇿🇦,Cultural,No
Rock Art in the Hail Region of Saudi Arabia,Asia,Saudi Arabia,🇸🇦,Cultural,No
Rock Art of Alta,Europe,Norway,🇳🇴,Cultural,No
Rock Art of the Mediterranean Basin on the Iberian Peninsula,Europe,Spain,🇪🇸,Cultural,No
Rock Carvings in Tanum,Europe,Sweden,🇸🇪,Cultural,No
Rock Drawings in Valcamonica,Europe,Italy,🇮🇹,Cultural,No
Rock Islands Southern Lagoon,Oceania,Palau,🇵🇼,Mixed,No
Rock Paintings of the Sierra de San Francisco,North America,Mexico,🇲🇽,Cultural,No
Rock Shelters of Bhimbetka,Asia,India,🇮🇳,Cultural,No
Rock-Art Sites of Tadrart Acacus,Africa,Libya,🇱🇾,Cultural,Endangered
Rock-Hewn Churches of Ivanovo,Europe,Bulgaria,🇧🇬,Cultural,No
"Rock-Hewn Churches, Lalibela",Africa,Ethiopia,🇪🇹,Cultural,No
Rohtas Fort,Asia,Pakistan,🇵🇰,Cultural,No
"Roman Monuments, Cathedral of St Peter and Church of Our Lady in Trier",Europe,Germany,🇩🇪,Cultural,No
"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",Europe,France,🇫🇷,Cultural,No
Roman Walls of Lugo,Europe,Spain,🇪🇸,Cultural,No
Roskilde Cathedral,Europe,Denmark,🇩🇰,Cultural,No
Routes of Santiago de Compostela in France,Europe,France,🇫🇷,Cultural,No
Routes of Santiago de Compostela:Camino Francésand Routes of Northern Spain,Europe,Spain,🇪🇸,Cultural,No
"Royal Botanic Gardens, Kew",Europe,United Kingdom,🇬🇧,Cultural,No
"Royal Building ofMafra– Palace, Basilica, Convent,CercoGarden and Hunting Park (Tapada)",Europe,Portugal,🇵🇹,Cultural,No
Royal Court of Tiébélé,Africa,Burkina Faso,🇧🇫,Cultural,No
Royal Domain of Drottningholm,Europe,Sweden,🇸🇪,Cultural,No
Royal Exhibition Building and Carlton Gardens,Oceania,Australia,🇦🇺,Cultural,No
Royal Hill of Ambohimanga,Africa,Madagascar,🇲🇬,Cultural,No
Royal Monastery of Santa María de Guadalupe,Europe,Spain,🇪🇸,Cultural,No
Royal Palaces of Abomey,Africa,Benin,🇧🇯,Cultural,No
Royal Tombs of the Joseon Dynasty,Asia,South Korea,🇰🇷,Cultural,No
Roșia Montană Mining Landscape,Europe,Romania,🇷🇴,Cultural,Endangered
Ruins of Kilwa Kisiwani and Ruins of Songo Mnara,Africa,Tanzania,🇹🇿,Cultural,No
Ruins of León Viejo,North America,Nicaragua,🇳🇮,Cultural,No
Ruins of Loropéni,Africa,Burkina Faso,🇧🇫,Cultural,No
Ruins of the Buddhist Vihara at Paharpur,Asia,Bangladesh,🇧🇩,Cultural,No
Rwenzori Mountains National Park,Africa,Uganda,🇺🇬,Natural,No
Río Abiseo National Park,South America,Peru,🇵🇪,Mixed,No
Río Plátano Biosphere Reserve,North America,Honduras,🇭🇳,Natural,Endangered
Røros Mining Town and the Circumference,Europe,Norway,🇳🇴,Cultural,No
SGang Gwaay,North America,Canada,🇨🇦,Cultural,No
Sacred City of Anuradhapura,Asia,Sri Lanka,🇱🇰,Cultural,No
Sacred City of Caral-Supe,South America,Peru,🇵🇪,Cultural,No
Sacred City of Kandy,Asia,Sri Lanka,🇱🇰,Cultural,No
Sacred Ensembles of the Hoysalas,Asia,India,🇮🇳,Cultural,No
Sacred Island of Okinoshima and Associated Sites in the Munakata Region,Asia,Japan,🇯🇵,Cultural,No
Sacred Mijikenda Kaya Forests,Africa,Kenya,🇰🇪,Cultural,No
Sacred Sites and Pilgrimage Routes in the Kii Mountain Range,Asia,Japan,🇯🇵,Cultural,No
Sacri Montiof Piedmont and Lombardy,Europe,Italy,🇮🇹,Cultural,No
Sado Island Gold Mines,Asia,Japan,🇯🇵,Cultural,No
Sagarmatha National Park,Asia,Nepal,🇳🇵,Natural,No
Saint Catherine Area,Africa,Egypt,🇪🇬,Cultural,No
Saint Hilarion Monastery/ Tell Umm Amer,Asia,Palestine,🇵🇸,Cultural,Endangered
Salonga National Park,,DR Congo,🇨🇩,Natural,No
Saloum Delta,Africa,Senegal,🇸🇳,Cultural,No
Saltaire,Europe,United Kingdom,🇬🇧,Cultural,No
Samarkand – Crossroad of Cultures,Asia,Uzbekistan,🇺🇿,Cultural,No
Samarra Archaeological City,Asia,Iraq,🇮🇶,Cultural,Endangered
San Agustín Archaeological Park,South America,Colombia,🇨🇴,Cultural,No
San Antonio Missions,North America,United States,🇺🇸,Cultural,No
San Cristóbal de La Laguna,Europe,Spain,🇪🇸,Cultural,No
San Marino Historic Centre and Mount Titano,Europe,San Marino,🇸🇲,Cultural,No
San Millán Yuso and Suso Monasteries,Europe,Spain,🇪🇸,Cultural,No
"San Pedro de la Roca Castle, Santiago de Cuba",North America,Cuba,🇨🇺,Cultural,No
Sanctuary of Asklepios at Epidaurus,Europe,Greece,🇬🇷,Cultural,No
Sanctuary of Bom Jesus do Congonhas,South America,Brazil,🇧🇷,Cultural,No
Sanctuary of Bom Jesus do Monte in Braga,Europe,Portugal,🇵🇹,Cultural,No
Sanganeb Marine National Park and Dungonab Bay – Mukkawar Island Marine National Park,Africa,Sudan,🇸🇩,Natural,No
Sangay National Park,South America,Ecuador,🇪🇨,Natural,No
Sangha Trinational,Africa,"Cameroon, Central African Republic, Republic of the Congo","🇨🇫, 🇨🇬, 🇨🇲",Natural,No
Sangiran Early Man Site,Asia,Indonesia,🇮🇩,Cultural,No
"Sansa, Buddhist Mountain Monasteries in Korea",Asia,South Korea,🇰🇷,Cultural,No
Santiago de Compostela (Old Town),Europe,Spain,🇪🇸,Cultural,No
Santiniketan,Asia,India,🇮🇳,Cultural,No
Saryarka – Steppe and Lakes of Northern Kazakhstan,Asia,Kazakhstan,🇰🇿,Natural,No
Sassanid Archaeological Landscape of Fars Region,Asia,Iran,🇮🇷,Cultural,No
Sceilg Mhichíl,Europe,Ireland,🇮🇪,Cultural,No
Schokland and Surroundings,Europe,Netherlands,🇳🇱,Cultural,No
Schwerin Residence Ensemble,Europe,Germany,🇩🇪,Cultural,No
Selimiye Mosque and its Social Complex,Asia,Turkey,🇹🇷,Cultural,No
Selous Game Reserve,Africa,Tanzania,🇹🇿,Natural,Endangered
Semmering Railway,Europe,Austria,🇦🇹,Cultural,No
Seokguram Grotto and Bulguksa Temple,Asia,South Korea,🇰🇷,Cultural,No
"Seowon, Korean Neo-Confucian Academies",Asia,South Korea,🇰🇷,Cultural,No
Serengeti National Park,Africa,Tanzania,🇹🇿,Natural,No
Serra da Capivara National Park,South America,Brazil,🇧🇷,Cultural,No
Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,South America,Chile,🇨🇱,Cultural,No
Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht,Europe,Netherlands,🇳🇱,Cultural,No
Sewell Mining Town,South America,Chile,🇨🇱,Cultural,No
"ShUM Sites of Speyer, Worms and Mainz",Europe,Germany,🇩🇪,Cultural,No
Shahr-i Sokhta,Asia,Iran,🇮🇷,Cultural,No
"Shark Bay, Western Australia",Oceania,Australia,🇦🇺,Natural,No
Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil,Asia,Iran,🇮🇷,Cultural,No
Shirakami-Sanchi,Asia,Japan,🇯🇵,Natural,No
Shiretoko,Asia,Japan,🇯🇵,Natural,No
Shrines and Temples of Nikko,Asia,Japan,🇯🇵,Cultural,No
Shushtar Historical Hydraulic System,Asia,Iran,🇮🇷,Cultural,No
Sian Ka'an,North America,Mexico,🇲🇽,Natural,No
"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains",Asia,China,🇨🇳,Natural,No
Silk Roads: Zarafshan-Karakum Corridor,Asia,"Tajikistan, Turkmenistan, Uzbekistan","🇹🇯, 🇹🇲, 🇺🇿",Cultural,No
Silk Roads: the Routes Network of Chang'an-Tianshan Corridor,Asia,"China, Kazakhstan, Kyrgyzstan","🇨🇳, 🇰🇬, 🇰🇿",Cultural,No
Simien National Park,Africa,Ethiopia,🇪🇹,Natural,No
Singapore Botanic Gardens,Asia,Singapore,🇸🇬,Cultural,No
Sinharaja Forest Reserve,Asia,Sri Lanka,🇱🇰,Natural,No
Site of Palmyra,Asia,Syria,🇸🇾,Cultural,Endangered
Site of Xanadu,Asia,China,🇨🇳,Cultural,No
Sites of Human Evolution at Mount Carmel: The Nahal Me’arot / Wadi el-Mughara Caves,Asia,Israel,🇮🇱,Cultural,No
"Sites of Japan’s Meiji Industrial Revolution: Iron and Steel, Shipbuilding and Coal Mining",Asia,Japan,🇯🇵,Cultural,No
Skogskyrkogården,Europe,Sweden,🇸🇪,Cultural,No
Socotra Archipelago,Asia,Yemen,🇾🇪,Natural,No
Soltaniyeh,Asia,Iran,🇮🇷,Cultural,No
South China Karst,Asia,China,🇨🇳,Natural,No
Speicherstadt and Kontorhaus District with Chilehaus,Europe,Germany,🇩🇪,Cultural,No
Speyer Cathedral,Europe,Germany,🇩🇪,Cultural,No
Srebarna Nature Reserve,Europe,Bulgaria,🇧🇬,Natural,No
St Kilda,Europe,United Kingdom,🇬🇧,Mixed,No
St Mary's Cathedral and St Michael's Church at Hildesheim,Europe,Germany,🇩🇪,Cultural,No
Stari Grad Plain,Europe,Croatia,🇭🇷,Cultural,No
Stari Ras and Sopoćani,Europe,Serbia,🇷🇸,Cultural,No
State Historical and Cultural Park “Ancient Merv”,Asia,Turkmenistan,🇹🇲,Cultural,No
Statue of Liberty,North America,United States,🇺🇸,Cultural,No
Stevns Klint,Europe,Denmark,🇩🇰,Natural,No
Stećci Medieval Tombstone Graveyards,Europe,"Bosnia and Herzegovina, Croatia, Montenegro, Serbia","🇧🇦, 🇭🇷, 🇲🇪, 🇷🇸",Cultural,No
Stoclet House,Europe,Belgium,🇧🇪,Cultural,No
Stone Circles of Senegambia,Africa,"Gambia, Senegal","🇬🇲, 🇸🇳",Cultural,No
Stone Town of Zanzibar,Africa,Tanzania,🇹🇿,Cultural,No
"Stonehenge, Avebury and Associated Sites",Europe,United Kingdom,🇬🇧,Cultural,No
"Strasbourg, Grande-Île andNeustadt",Europe,France,🇫🇷,Cultural,No
Struve Geodetic Arc,Europe,"Belarus, Estonia, Finland, Latvia, Lithuania, Moldova, Norway, Russia, Sweden, Ukraine","🇧🇾, 🇪🇪, 🇫🇮, 🇱🇹, 🇱🇻, 🇲🇩, 🇳🇴, 🇷🇺, 🇸🇪, 🇺🇦",Cultural,No
Studenica Monastery,Europe,Serbia,🇷🇸,Cultural,No
Studley Royal Park including the Ruins of Fountains Abbey,Europe,United Kingdom,🇬🇧,Cultural,No
Su Nuraxi di Barumini,Europe,Italy,🇮🇹,Cultural,No
Sudanese style mosques in northern Côte d’Ivoire,Africa,Ivory Coast,,Cultural,No
Sukur Cultural Landscape,Africa,Nigeria,🇳🇬,Cultural,No
Sulaiman-Too Sacred Mountain,Asia,Kyrgyzstan,🇰🇬,Cultural,No
"Summer Palace, an Imperial Garden in Beijing",Asia,China,🇨🇳,Cultural,No
"Sun Temple, Konârak",Asia,India,🇮🇳,Cultural,No
Sundarbans National Park,Asia,India,🇮🇳,Natural,No
Surtsey,Europe,Iceland,🇮🇸,Natural,No
Susa,Asia,Iran,🇮🇷,Cultural,No
Swiss Alps Jungfrau-Aletsch,Europe,Switzerland,🇨🇭,Natural,No
Swiss Tectonic Arena Sardona,Europe,Switzerland,🇨🇭,Natural,No
Sydney Opera House,Oceania,Australia,🇦🇺,Cultural,No
Syracuse and the Rocky Necropolis of Pantalica,Europe,Italy,🇮🇹,Cultural,No
São Francisco Square in the Town of São Cristóvão,South America,Brazil,🇧🇷,Cultural,No
Sítio Roberto Burle Marx,South America,Brazil,🇧🇷,Cultural,No
Tabriz Historic Bazaar Complex,Asia,Iran,🇮🇷,Cultural,No
Taj Mahal,Asia,India,🇮🇳,Cultural,No
Tajik National Park (Mountains of the Pamirs),Asia,Tajikistan,🇹🇯,Natural,No
Takht-e Soleyman,Asia,Iran,🇮🇷,Cultural,No
Talamanca Range-La Amistad Reserves / La Amistad National Park,North America,"Costa Rica, Panama","🇨🇷, 🇵🇦",Natural,No
Talayotic Menorca,Europe,Spain,🇪🇸,Cultural,No
Taos Pueblo,North America,United States,🇺🇸,Cultural,No
Taputapuātea,Europe,France,🇫🇷,Cultural,No
Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,Europe,Poland,🇵🇱,Cultural,No
Tasmanian Wilderness,Oceania,Australia,🇦🇺,Mixed,No
Tassili n'Ajjer,Africa,Algeria,🇩🇿,Mixed,No
Taxila,Asia,Pakistan,🇵🇰,Cultural,No
